ppm intensity peak
0.200109951 -0.029032958 1
0.200659703 -0.020333222 1
0.201209456 0.00654832 1
0.201759208 0.011606087 1
0.202308961 0.0280898 1
0.202858714 0.018175228 1
0.203408466 -0.020597103 1
0.203958219 0.024671825 1
0.204507971 0.018149675 1
0.205057724 0.018374727 1
0.205607477 0.033622234 1
0.206157229 0.005408569 1
0.206706982 0.01004069 1
0.207256734 0.010562179 1
0.207806487 -0.005340017 1
0.20835624 -0.013546892 1
0.208905992 -0.013546892 1
0.209455745 -0.013546892 1
0.210005498 0.013899757 1
0.21055525 0.032695201 1
0.211105003 0.013576372 1
0.211654755 0.007119312 1
0.212204508 0.018638077 1
0.212754261 0.011827221 1
0.213304013 -0.006151355 1
0.213853766 0.024337892 1
0.214403518 0.024337892 1
0.214953271 0.020502599 1
0.215503024 0.020375255 1
0.216052776 0.037236481 1
0.216602529 0.043057473 1
0.217152281 0.04296337 1
0.217702034 0.036287282 1
0.218251787 0.023131724 1
0.218801539 0.022258097 1
0.219351292 0.006858932 1
0.219901045 -0.01306654 1
0.220450797 0.021098274 1
0.22100055 0.012150712 1
0.221550302 -0.012830484 1
0.222100055 -0.012830484 1
0.222649808 0.000450211 1
0.22319956 0.016373034 1
0.223749313 -0.013022637 1
0.224299065 -0.011923405 1
0.224848818 -0.011923405 1
0.225398571 -0.011923405 1
0.225948323 0.01818066 1
0.226498076 0.001665517 1
0.227047828 0.00324247 1
0.227597581 0.013177013 1
0.228147334 -0.010319871 1
0.228697086 -0.003981592 1
0.229246839 -0.020835414 1
0.229796592 0.016185289 1
0.230346344 0.039150836 1
0.230896097 0.018497346 1
0.231445849 0.041863833 1
0.231995602 0.020511984 1
0.232545355 0.05197402 1
0.233095107 0.044020715 1
0.23364486 0.037571648 1
0.234194612 0.015317886 1
0.234744365 -0.001118877 1
0.235294118 0.015524808 1
0.23584387 0.015181554 1
0.236393623 0.02650521 1
0.236943375 0.013537686 1
0.237493128 0.030668543 1
0.238042881 0.04506472 1
0.238592633 0.018863129 1
0.239142386 0.010708002 1
0.239692139 0.010708002 1
0.240241891 0.014537536 1
0.240791644 -0.006471416 1
0.241341396 0.007141345 1
0.241891149 0.022948937 1
0.242440902 0.002921723 1
0.242990654 -0.022734624 1
0.243540407 0.003815966 1
0.244090159 -0.0100884 1
0.244639912 0.014885856 1
0.245189665 -0.00247292 1
0.245739417 0.026494809 1
0.24628917 0.032509455 1
0.246838922 0.002065608 1
0.247388675 -0.029100135 1
0.247938428 0.002020462 1
0.24848818 0.00369638 1
0.249037933 0.003782851 1
0.249587686 0.010543012 1
0.250137438 0.033973733 1
0.250687191 0.030241157 1
0.251236943 0.038418648 1
0.251786696 0.023691855 1
0.252336449 0.040445213 1
0.252886201 0.02857236 1
0.253435954 0.020370213 1
0.253985706 0.004202698 1
0.254535459 0.020815887 1
0.255085212 0.017561453 1
0.255634964 0.002347604 1
0.256184717 0.00846642 1
0.256734469 0.028665504 1
0.257284222 0.0053501 1
0.257833975 -0.03004466 1
0.258383727 0.019214622 1
0.25893348 0.002133384 1
0.259483233 -0.010217282 1
0.260032985 -0.042792221 1
0.260582738 -0.012458034 1
